fontconfig,2.12.4,2.13.1-1,
fontsproto,1:2.1.3,2018.4-4,xorgproto
foomatic-filters,4.0.17,4.0.17-11,
formfactor,0.0,,
freetype,2.8,2.8.1-2,
fstests,0.1+gitAUTOINC+e5939ff608,,
fts,(skipped),1.1-2,
gawk,4.1.4,1:4.2.1+dfsg-1,
gcc,7.3.0,8.2.0-7 ,gcc-8
gcc-cross-arm,7.3.0,,
gcc-cross-canadian-arm,7.3.0,,
gcc-cross-initial-arm,7.3.0,,
gcc-crosssdk-initial-x86_64-pokysdk-linux,7.3.0,,
gcc-crosssdk-x86_64-pokysdk-linux,7.3.0,,
gcc-runtime,7.3.0,,
gcc-sanitizers,7.3.0,,
gcc-source-7.3.0,7.3.0,,
gccmakedep,1:1.0.3,,
gconf,3.2.6,3.2.6-5,
gcr,3.20.0,3.28.0-1,
gdb,8.0,8.1-4,
gdb-cross-arm,8.0,,
gdb-cross-canadian-arm,8.0,,
gdbm,1.13,1.18-2,
gdk-pixbuf,2.36.8,2.38.0+dfsg-6,
gettext,0.19.8.1,0.19.8.1-7,
gettext-minimal-native,0.19.8.1,,
ghostscript,9.21,9.25~dfsg-2,
git,2.13.3,1:2.19.1-1,
glew,2.0.0,2.0.0-6,
glib-2.0,1:2.52.3,2.58.1-2 ,glib2.0
glib-networking,2.50.0,2.58.0-1,
glibc,2.26,2.27-6,
glibc-initial,2.26,,
glibc-locale,2.26,,
glibc-mtrace,2.26,,
glibc-scripts,2.26,,
glibc-scripts,2.26,,
glproto,1:1.4.17,2018.4-4,xorgproto
gma500-gfx-check,(skipped),,
gmp,6.1.2,2:6.1.2+dfsg-3,
gnome-desktop-testing,2014.1,2018.1-1,
gnome-desktop3,3.24.2,3.30.1-1,
gnome-themes-standard,3.22.3,,
gnu-config,20150728+gitAUTOINC+b576fa87c1,,
gnu-efi,3.0.6,3.0.4-2,
gnupg,2.2.0,,
gnutls,3.5.13,3.5.19-1,gnutls28
go,1.9.4,1.9.4-1,golang-1.9
go-cross-arm,1.9.4,,
go-cross-canadian-arm,1.9.4,,
go-crosssdk-x86_64,1.9.4,,
go-dep,0.3.0,0.5.0-1,
go-helloworld,0.1,,
go-native,1.9.4,,
go-runtime,1.9.4,,
gobject-introspection,1.52.1,1.58.0-1,
gperf,3.1,3.1-1,
gpgme,1.9.0,1.11.1-1,gpgme1.0
gptfdisk,1.0.3,,
grep,3.1,3.1-2,
groff,1.22.3,1.22.3-10,
grub,2.02,0.97-73,
grub,2.02,0.97-73,
grub-efi,(skipped),,
gsettings-desktop-schemas,3.22.0,3.28.1-1,
gsettings-desktop-schemas,3.22.0,3.28.1-1,
gsettings-desktop-schemas,3.22.0,3.28.1-1,
gstreamer1.0,1.12.2,1.14.4-1,
gstreamer1.0-libav,(skipped),,
gstreamer1.0-meta-base,1.0,,
gstreamer1.0-omx,(skipped),,
gstreamer1.0-plugins-bad,1.12.2,1.14.4-1,gst-plugins-bad1.0
gstreamer1.0-plugins-base,1.12.2,1.14.4-1,gst-plugins-base1.0
gstreamer1.0-plugins-good,1.12.2,1.14.4-1,gst-plugins-good1.0
gstreamer1.0-plugins-ugly,(skipped),1.14.2-1,gst-plugins-ugly1.0
gstreamer1.0-python,1.12.2,1.14.2-1,gst-python1.0
gstreamer1.0-rtsp-server,1.12.2,1.14.2-1,gst-rtsp-server1.0
gstreamer1.0-vaapi,1.12.2,1.14.2-1,gstreamer-vaapi
gtk+,2.24.31,2.24.32-3,gtk+2.0
gtk+3,3.22.17,3.24.1-2,gtk+3.0
gtk-doc,1.25,1.28-1,
gtk-icon-utils-native,3.22.17,,
gzip,1.8,1.9-2.1,
harfbuzz,1.4.8,1.9.0-1,
hdparm,9.52,9.56+ds-2,
help2man-native,1.47.4,1.47.6,help2man
hicolor-icon-theme,0.15,0.17-2,
hwlatdetect,1:1.1,,
i2c-tools,3.1.2,4.0-2,
icon-naming-utils,0.8.90,0.8.90-3,
icu,59.1,60.2-6,
ifupdown,0.8.16,0.8.32,
init-ifupdown,1.0,,
initramfs-boot,1.0,,
initramfs-framework,1.0,,
initramfs-live-boot,1.0,,
initramfs-live-boot,1.0,,
initramfs-live-install,(skipped),,
initramfs-live-install-efi,(skipped),,
initramfs-live-install-efi-testfs,(skipped),,
initramfs-live-install-testfs,(skipped),,
initramfs-module-install,1.0,,
initramfs-module-install-efi,1.0,,
initramfs-module-setup-live,1.0,,
initscripts,1.0,,
inputproto,1:2.3.2,2018.4-4,xorgproto
intltool,0.51.0,0.51.0-5,
iproute2,4.11.0,4.18.0-2,
iptables,1.6.1,1.6.2-1.1,
iputils,s20151218,3:20180629-2,
irda-utils,0.9.18,0.9.18-15,
iso-codes,3.75,4.1-1,
iw,4.9,4.14-0.1,
json-c,0.12.1,0.12.1-1.3,
json-glib,1.2.8,1.4.2-4,
kbd,2.0.4,2.0.4-4,
kbproto,1:1.0.7,2018.4-4,xorgproto
